Date,Open,High,Low,Close,Adj Close,Volume
2019-07-31,115.940002,117.019997,114.809998,116.339996,113.701920,2462300
2019-08-01,116.019997,117.970001,113.860001,114.050003,111.463860,2533300
2019-08-02,113.500000,113.500000,109.820000,110.730003,108.219139,2006600
2019-08-05,108.769997,109.500000,106.750000,107.690002,105.248077,1894200
2019-08-06,108.290001,109.120003,106.480003,107.059998,104.632355,2026600
2019-08-07,106.680000,108.300003,105.760002,107.370003,104.935326,1355800
2019-08-08,107.860001,110.459999,107.480003,109.739998,107.251587,2011800
2019-08-09,109.750000,110.110001,108.339996,109.250000,106.772697,904900
2019-08-12,108.650002,108.949997,106.690002,107.300003,104.866913,784500
2019-08-13,105.260002,109.239998,104.300003,109.029999,106.557678,2318600
2019-08-14,106.940002,107.430000,102.870003,104.190002,101.827438,1910800
2019-08-15,104.790001,105.320000,103.550003,103.870003,101.514694,1217700
2019-08-16,104.570000,105.779999,103.550003,105.180000,102.794991,988300
2019-08-19,106.540001,108.419998,106.540001,107.760002,105.316483,1350200
2019-08-20,107.610001,108.430000,107.000000,107.629997,105.189430,949000
2019-08-21,108.650002,108.690002,107.120003,107.669998,105.228523,778500
2019-08-22,107.839996,108.110001,106.139999,107.029999,104.603035,944700
2019-08-23,106.690002,107.040001,102.139999,102.529999,100.205078,2184100
2019-08-26,103.269997,103.699997,102.089996,102.489998,100.165977,1665600
2019-08-27,103.489998,103.559998,101.629997,101.769997,99.462311,1174600
2019-08-28,101.269997,103.370003,100.690002,103.180000,100.840340,1369400
2019-08-29,103.809998,104.940002,103.180000,103.379997,101.035797,1191100
2019-08-30,104.220001,105.500000,103.949997,104.279999,101.915390,1209000
2019-09-03,103.000000,103.000000,100.639999,102.849998,100.517822,1831300
2019-09-04,103.779999,105.690002,103.610001,104.739998,102.364967,1234900
2019-09-05,105.400002,107.419998,105.379997,106.940002,104.515083,1304200
2019-09-06,107.529999,108.879997,106.959999,108.410004,105.951752,1728600
2019-09-09,109.070000,110.699997,108.489998,110.610001,108.101860,1404300
2019-09-10,110.860001,113.919998,110.550003,113.750000,111.170654,1743900
2019-09-11,113.930000,115.150002,112.360001,113.830002,111.248848,1375200
2019-09-12,114.089996,114.750000,111.849998,113.269997,110.701530,1012800
2019-09-13,114.000000,115.629997,113.459999,114.830002,112.226166,1085100
2019-09-16,112.089996,114.190002,111.550003,113.930000,111.346573,1206700
2019-09-17,113.669998,114.790001,113.089996,114.089996,111.502945,720900
2019-09-18,113.260002,114.180000,110.980003,112.989998,110.427887,1790700
2019-09-19,112.779999,114.169998,112.330002,112.459999,110.673927,1238300
2019-09-20,112.760002,113.279999,110.860001,111.680000,109.906311,1434700
2019-09-23,110.959999,110.959999,108.760002,109.550003,107.810143,1646500
2019-09-24,110.339996,111.629997,108.019997,108.639999,106.914597,1439800
2019-09-25,108.680000,109.800003,107.620003,109.660004,107.918396,1116200
2019-09-26,106.279999,107.949997,105.150002,106.930000,105.231750,2549600
2019-09-27,107.309998,108.110001,105.830002,107.029999,105.330162,1632200
2019-09-30,108.000000,109.269997,107.620003,108.330002,106.609520,1301900
2019-10-01,108.209999,109.339996,104.190002,104.650002,102.987961,1595200
2019-10-02,103.699997,104.000000,102.180000,103.010002,101.374008,1635700
2019-10-03,103.089996,104.480003,101.680000,104.180000,102.525421,1260800
2019-10-04,104.540001,105.290001,102.760002,103.309998,101.669235,1634300
2019-10-07,102.809998,103.750000,101.690002,102.599998,100.970520,1758200
2019-10-08,101.290001,102.800003,100.470001,101.029999,99.425446,1318400
2019-10-09,101.809998,102.360001,101.279999,101.879997,100.261948,944100
2019-10-10,102.309998,103.800003,101.820000,103.610001,101.964478,1213900
2019-10-11,105.000000,108.480003,105.000000,107.570000,105.861588,1960800
2019-10-14,107.000000,108.589996,106.889999,107.959999,106.245392,1183600
2019-10-15,108.160004,110.559998,107.919998,109.480003,107.741257,1439400
2019-10-16,109.550003,109.860001,107.139999,108.320000,106.599670,1032700
2019-10-17,109.010002,109.639999,108.239998,109.150002,107.416496,558400
2019-10-18,109.489998,111.650002,109.220001,111.180000,109.414246,1737500
2019-10-21,112.000000,112.949997,100.000000,112.070000,110.290115,2161300
2019-10-22,111.750000,112.029999,108.260002,108.410004,106.688248,1367500
2019-10-23,108.269997,109.910004,107.580002,109.680000,107.938072,1056100
2019-10-24,110.190002,110.620003,108.540001,109.120003,107.386971,869000
2019-10-25,108.889999,111.519997,108.889999,111.370003,109.601242,944100
2019-10-28,111.510002,112.989998,111.440002,112.199997,110.418045,961300
2019-10-29,112.900002,113.900002,112.250000,113.269997,111.471054,1569200
2019-10-30,115.470001,115.750000,108.510002,109.419998,107.682205,3557300
2019-10-31,109.070000,109.559998,107.160004,108.830002,107.101578,2222300
2019-11-01,109.870003,111.699997,109.339996,111.180000,109.414246,1311800
2019-11-04,112.209999,113.470001,111.080002,113.279999,111.480896,1508200
2019-11-05,113.669998,114.529999,112.470001,113.510002,111.707253,1448300
2019-11-06,113.629997,113.680000,111.360001,112.779999,110.988838,1336800
2019-11-07,114.610001,115.820000,112.879997,114.989998,113.163734,2592400
2019-11-08,114.550003,114.900002,112.919998,114.529999,112.711044,988000
2019-11-11,113.470001,114.220001,112.839996,113.940002,112.130417,908900
2019-11-12,114.019997,114.930000,113.250000,113.849998,112.041847,1168300
2019-11-13,113.510002,115.059998,112.830002,114.790001,112.966919,1232000
2019-11-14,114.610001,115.669998,114.320000,115.239998,113.409767,1565100
2019-11-15,116.000000,118.220001,116.000000,117.889999,116.017677,2445500
2019-11-18,118.000000,118.550003,117.019997,118.400002,116.519585,1651100
2019-11-19,119.500000,120.099998,118.779999,118.860001,116.972282,1614000
2019-11-20,118.129997,119.059998,116.370003,117.000000,115.141823,2435000
2019-11-21,116.709999,118.849998,115.519997,118.690002,116.804985,2252200
2019-11-22,119.430000,120.050003,118.349998,119.129997,117.237991,1642400
2019-11-25,119.800003,120.129997,119.209999,119.419998,117.523384,1375000
2019-11-26,119.489998,120.410004,118.570000,119.739998,117.838303,2379800
2019-11-27,120.540001,121.309998,119.580002,121.300003,119.373528,1218900
2019-11-29,120.639999,120.860001,119.750000,120.019997,118.113853,751600
2019-12-02,120.160004,120.419998,118.440002,119.150002,117.257675,1553000
2019-12-03,117.849998,118.860001,116.889999,118.849998,116.962440,1918400
2019-12-04,118.739998,120.169998,118.739998,120.099998,118.192581,1957500
2019-12-05,120.760002,121.220001,120.059998,121.000000,119.078293,1694200
2019-12-06,122.000000,122.489998,120.860001,122.070000,120.131294,1740100
2019-12-09,121.349998,122.120003,120.010002,121.820000,119.885262,1957800
2019-12-10,121.620003,121.870003,120.300003,121.589996,119.658920,1748600
2019-12-11,122.010002,123.559998,121.849998,123.320000,121.361443,1589700
2019-12-12,123.250000,125.419998,122.120003,124.989998,123.004921,1460500
2019-12-13,125.620003,126.839996,124.599998,125.639999,123.644600,2485500
2019-12-16,126.589996,127.139999,126.000000,126.199997,124.195702,1553800
2019-12-17,126.000000,127.309998,125.279999,127.050003,125.032211,1656200
2019-12-18,127.309998,127.730003,126.250000,127.589996,125.563622,1479400
2019-12-19,126.809998,127.410004,126.169998,126.849998,125.603233,1952300
2019-12-20,128.929993,132.490005,128.210007,131.080002,129.791672,4295700
2019-12-23,130.949997,134.000000,130.809998,133.399994,132.088852,1743700
2019-12-24,133.520004,133.649994,132.600006,132.960007,131.653198,573600
2019-12-26,133.070007,134.270004,132.259995,134.169998,132.851288,820300
2019-12-27,134.300003,134.600006,133.270004,133.330002,132.019547,624300
2019-12-30,133.720001,133.720001,132.720001,133.350006,132.039352,803800
2019-12-31,133.139999,133.960007,132.839996,133.509995,132.197769,814800
2020-01-02,134.550003,134.800003,133.470001,134.649994,133.326569,1014400
2020-01-03,132.789993,133.619995,131.809998,133.490005,132.177979,1229400
2020-01-06,131.589996,131.869995,130.389999,131.630005,130.336258,1518000
2020-01-07,131.080002,132.100006,130.440002,130.440002,129.157959,1211400
2020-01-08,130.350006,132.710007,130.020004,132.220001,130.920456,1429600
2020-01-09,133.919998,135.059998,132.940002,133.919998,132.603745,1227300
2020-01-10,134.169998,134.490005,132.690002,133.190002,131.880920,835400
2020-01-13,133.210007,133.690002,132.509995,133.110001,131.801712,1244700
2020-01-14,133.389999,133.619995,132.550003,132.949997,131.643280,1112300
2020-01-15,132.910004,133.869995,132.020004,132.619995,131.316528,872900
2020-01-16,133.139999,134.139999,132.889999,134.050003,132.732483,800600
2020-01-17,133.500000,135.320007,133.250000,135.050003,133.722641,906000
2020-01-21,133.199997,133.350006,128.220001,129.679993,128.405411,3369900
2020-01-22,130.570007,131.429993,128.789993,129.130005,127.860832,1836700
2020-01-23,126.730003,129.770004,123.470001,129.589996,128.316299,2123100
2020-01-24,129.039993,129.039993,124.000000,126.510002,125.266586,2689600
2020-01-27,118.589996,119.480003,115.820000,116.910004,115.760941,4937300
2020-01-28,119.230003,121.610001,117.300003,120.430000,119.246338,2576700
2020-01-29,121.480003,123.820000,120.739998,121.639999,120.444443,2121300
2020-01-30,115.500000,120.110001,115.489998,119.699997,118.523514,4088500
2020-01-31,119.709999,120.599998,116.680000,117.080002,115.929268,2020100
2020-02-03,116.360001,119.370003,114.260002,116.449997,115.305450,3064500
2020-02-04,121.970001,122.099998,116.709999,118.000000,116.840225,3308000
2020-02-05,119.500000,120.820000,117.610001,118.260002,117.097672,2455000
2020-02-06,118.910004,120.300003,116.599998,116.669998,115.523293,2518700
2020-02-07,113.370003,114.309998,110.519997,111.550003,110.453621,5071200
2020-02-10,110.779999,111.180000,109.519997,109.699997,108.621796,2737600
2020-02-11,111.059998,113.980003,110.250000,113.059998,111.948776,3238600
2020-02-12,114.570000,118.029999,114.459999,117.230003,116.077797,3994700
2020-02-13,115.500000,115.980003,113.430000,113.620003,112.503273,3140500
2020-02-14,113.349998,113.620003,112.440002,113.160004,112.047798,2555700
2020-02-18,112.489998,112.760002,110.709999,111.410004,110.314995,2977800
2020-02-19,111.209999,112.269997,110.669998,111.010002,109.918922,2531900
2020-02-20,110.870003,110.989998,109.419998,109.800003,108.720818,2867900
2020-02-21,108.839996,109.059998,105.150002,106.110001,105.067085,3352400
2020-02-24,99.949997,101.000000,96.389999,96.610001,95.660454,7476900
2020-02-25,97.779999,98.360001,89.290001,89.550003,88.669853,5906100
2020-02-26,90.440002,90.980003,81.820000,82.339996,81.530708,9748000
2020-02-27,79.510002,80.570000,70.500000,77.000000,76.243195,14785900
2020-02-28,73.919998,81.360001,73.480003,80.410004,79.619682,9940200
2020-03-02,81.500000,81.510002,76.779999,80.559998,79.768204,7890200
2020-03-03,81.760002,81.940002,76.779999,78.190002,77.421501,7591300
2020-03-04,79.949997,80.150002,75.320000,79.360001,78.580002,10264600
2020-03-05,75.029999,75.919998,64.180000,65.779999,65.779999,16079000
2020-03-06,62.700001,70.330002,60.360001,65.010002,65.010002,16949000
2020-03-09,56.230000,56.299999,47.360001,48.270000,48.270000,19180300
2020-03-10,51.029999,52.700001,40.200001,51.669998,51.669998,30282800
2020-03-11,48.560001,51.000000,41.200001,43.860001,43.860001,22279797
